title: Customer Profile-ERP
body:   

## Column Definition

Column_name| Type (Size)  
---|---  
accountNum| C(40)  
invoiceAccount| C (40)  
custGroup| C (20)  
lineDisc| C (20)  
paymTermId| C (20)  
cashDisc| C (20)  
currency| C (6)  
interCompanyAutoCreateOrders| N(4)  
salesGroup| C(20)  
blocked| N(4)  
oneTimeCustomer| N(4)  
accountStatement| N(4)  
creditMax| N(17)  
mandatoryCreditLimit| N(4)  
vendAccount| C(40)  
priceGroup| C(20)  
multiLineDisc| C(20)  
endDisc| C(20)  
vatNum| C(40)  
inventLocation| C(20)  
dlvTerm| C(20)  
dlvMode| C(20)  
markupGroup| C(20)  
clearingPeriod| C(20)  
freightZone| C(20)  
creditRating| C(20)  
taxGroup| C(20)  
statisticsGroup| C(20)  
paymMode| C(20)  
commissionGroup| C(20)  
bankAccount| C(20)  
paymSched| C(60)  
contactPersonId| C(40)  
invoiceAddress| N(4)  
ourAccountNum| C(40)  
salesPoolId| C(20)  
inclTax| N(4)  
custItemGroupId| C(20)  
numberSequenceGroup| C(20)  
paymDayId| C(20)  
lineOfBusinessId| C(20)  
destinationcodeId| C(20)  
giroType| N(4)  
suppItemGroupId| C(20)  
girotypeinterestnote| N(4)  
taxLicenseNum| C(40)  
websalesorderdisplay| N(4)  
paymSpec| C(20)  
bankCentralBankPurposeText| C(280)  
bankcentralbankpurposeCode| C(20)  
intercompanyallowindirectcreation| N(4)  
packMaterialFeeLicenseNum| C(40)  
taxBorderNumber_FI| C(20)  
eInvoiceeAnnum| C(26)  
fiscalCode| C(32)  
dlvReason| C(20)  
forecastDmpInclude| N(4)  
giroTypeCollectionLetter| N(4)  
salesCalendarId| C(20)  
custClassificationId| C(20)  
interCompanyDirectDelivery| N(4)  
enterpriseNumber| C(100)  
shipCarrierAccount| C(50)  
giroTypeProjInvoice| N(4)  
inventSiteId| C(20)  
orderEntryDeadlineGroupId| C(20)  
shipCarrierId| C(20)  
shipCarrierfuelsurcharge| N(4)  
shipCarrierBlindShipment| N(4)  
shipCarrierAccountCode| C(40)  
giroTypeFreeTextInvoice| N(4)  
syncEntityId| N(4) unique  
syncVersion| N(8)  
memo| ? -1  
salesDistrictId| C(40)  
segmentId| C(40)  
subSegmentId| C(40)  
rfIditemTagging| N(4)  
rfIdCaseTagging| N(4)  
rfIdPalletTagging| N(4)  
companyChainId| C(40)  
companyIdSiret| C(28)  
party| N(8)  
identificationNumber| C(100)  
partyCountry| C(20)  
partyState| C(20)  
orgId| C(20)  
paymIdType| C(20)  
factoringAccount| C(40)  
defaultDimension| N(8)  
custExcludeCollectionFee| N(4)  
custExcludeInterestCharges| N(4)  
companyNafCode| N(8)  
bankCustPaymIdTable| N(8)  
giroTypeAccountStatement| N(4)  
mainContactWorker| N(8)  
creditCardaddressverification| N(4)  
creditCardcvc| N(4)  
creditCardaddressverificationvoId| N(4)  
creditCardaddressverificationlevel| N(4)  
companyType_MX| N(4)  
rfc_MX| C(26)  
curp_MX| C(36)  
stateInscription_MX| C(60)  
residenceForeignCountryRegionId_IT| C(20)  
birthCountycode_IT| C(4)  
birthDate_IT| DateTime(8)  
birthPlace_IT| C(120)  
eInvoice| N(4)  
pbaCustGroupId| C(20)  
taxWithholdCalculate_TH| N(4)  
taxwithholdgroup_TH| C(20)  
fedNonFedIndicator| N(4)  
irs1099cIndicator| N(4)  
agencyLocationCode| C(24)  
federalComments| C(120)  
usePurchRequest| N(4)  
pdsCustRebateGroupId| C(40)  
pdsRebateTmaGroup| C(20)  
pdsFreightAccrued| N(4)  
cashDiscBaseDays| N(4)  
useCashDisc| N(4)  
custTradingPartnerCode| N(8)  
modifiedDateTime| DateTime(8)  
modifiedBy| C(16)  
createdDateTime| DateTime(8)  
dataAreaId| C(8)  
recVersion| N(4)  
recId| N(8)  
  
  


