title: Message Manager Application Type x-reference
body: Ccurrently used JID

CID| Application Name| JID  
---|---|---  
aabk| Monthly| ms1  
abak| Monthly| ms1  
acbk| DDA| ds1  
afcu| Monthly| ms1  
afcu| Visa| mv1  
albk| DDA| ms1  
alcu| Monthly| ms1  
apcu| Monthly| ms2  
asfc| Monthly| ms1  
banb| DDA| ds1  
bbbb| Monthly| ds1  
bbbb| Home Equity| me1  
bfcu| Monthly| ms1  
bfcu| Visa Gold| mv1  
bfcu| Visa| mv2  
bfcu| Visa Business| mv3  
bkfn| DDA| ds1  
bkfn| Commercial| cl1  
bonk| Monthly| ms1  
cacu| Monthly| ms1  
camb| DDA| ms1  
ccbk| Monthly| ms1  
cfcu| HELOC| me1  
cfcu| Monthly| ms1  
cfcu| Visa| mv1  
chcu| Monthly| ms1  
clcu| Monthly| ms1  
cmcu| Monthly| ms1  
cobz| DDA| ms1  
cobz| Loan Bill| lna  
colb| DDA| ms1  
comm| Monthly| ms1  
cscu| Monthly| ms1  
cscu| Home Equity| me1  
cscu| Visa| mv1  
ctcu| Monthly| ms1  
cvbk| DDA| ds2  
dacb| DDA| ms1  
dcbb| DDA| ms2  
dccu| Monthly| ms1  
demo| Loan Bill| lb1  
demo| Monthly| ms1  
dfcu| Monthly| ms1  
dfcu| Commercial Deposit| ms2  
edcu| Monthly| ms1  
eecu| Monthly| ms1  
elcu| Monthly| ms1  
epcu| Monthly| ms1  
eqbk| DDA| ms1  
ewbb| DDA| ms1  
ewbb| Velo| ds2  
exbk| DDA| ms1  
fcsb| DDA| ds5  
fcsb| SAVINGS| ds6  
ffdm| Home Equity| ms2  
ffdm| Cash Account| ms1  
fffc| Monthly| ms1  
ffin| DDA| ms2  
fhnb| DDA| ms1  
fhnb| SAVINGS| ms2  
fibk| Monthly| ms1  
flcu| Monthly| ms1  
fnbk| Consumer Visa| mv1  
fnbk| Consumer Deposit| cn1  
fnbk| Commercial Deposit| cm1  
fnbk| Mortgage| ml2  
fnbk| Home Equity| ml1  
fnbk| Commercial Visa| mv2  
fnbs| Monthly| ms1  
fnbt| SAVINGS| ms2  
fnbt| DDA| ms1  
fson| DDA| ms2  
gbbk| DDA| ms3  
gcbk| DDA| ms1  
gdcu| Monthly| ms1  
gecu| Monthly| ms1  
gulf| Monthly| ms1  
hebc| Monthly| ms1  
hfcu| Monthly| ms2  
hrbk| DDA| ms1  
htbk| DDA| ds2  
idcu| Monthly| ms1  
idcu| Visa| mv1  
isbk| Monthly| ms1  
ivbk| DDA| ms1  
kfcu| Monthly| ms1  
kycu| Monthly| ms1  
kycu| Loan Bill| lb1  
lccu| Monthly| ms4  
mife| DDA| ms2  
mocu| Monthly| ms1  
msbk| DDA| ms1  
mtcu| Monthly| ms1  
mtro| Billing| lb1  
mtro| Mortgage| ml1  
mtro| LOC| me1  
mtro| Deposit| ms1  
mvcu| Monthly| ms1  
mvcu| Fannie Mae| ms2  
mwcu| Business| ms3  
mwcu| Monthly| ms1  
necu| DDA| ms3  
necu| IRA| ir1  
necu| Consumer Deposit| ms1  
necu| Business| ms2  
nmcu| Visa Platinum| mv4  
nmcu| Visa Classic Gold| mv1  
nmcu| Visa Gold| mv2  
nmcu| Monthly| ms1  
nmcu| Visa Platinum Business| mv5  
nrbk| DDA| ms1  
nrbk| Visa Business| mv1  
ntsb| Escrow Analysis| dea  
ntsb| DDA| ms1  
ntsb| Loan Bill| ls1  
ofcu| Monthly| ms1  
ofcu| LOC| me1  
ofcu| Visa| mv1  
orcu| Monthly| ms1  
oscu| Visa| mv2  
oscu| Monthly| ms2  
pacu| Monthly| ms1  
pbca| Monthly| ms1  
plbk| Monthly| ms1  
