title: Top 50 InfoIMAGE Clients
body:   

Rank| Client  
---|---  
1| Open Solutions *  
2| Tinker Federal CU  
3| First Community Services  
4| Banner Bank  
5| Redwood CU  
6| Affinity Plus CU  
7| East West Bank  
8| First Financial Bank  
9| Jovia Financial Credit Union  
10| Western Federal CU  
11| Idaho Central CU  
12| OSU Federal CU  
13| State Employee Federal CU  
14| Sunflower Bank  
15| Midland States Bank  
16| Washington Trust Bank  
17| Farm Credit Bank of Texas  
18| Credit Human Federal CU  
19| Vantage West CU  
20| Utah Community CU  
21| GECU  
22| First Light Federal CU  
23| SELCO Community CU  
24| Unitus Community CU  
25| Safe Credit Union  
26| Hertiage Bank  
27| Equity Bank  
28| Shell CU  
29| Keesler CU  
30| Provident CU  
31| Chevron Texaco Federal CU  
32| Westerra CU  
33| AllSouth Federal CU  
34| Technology CU  
35| San Francisco Federal CU  
36| Community First Credit Union  
37| Alliance CU  
38| El Paso Area Teacher Federal CU  
39| San Francisco Police CU  
40| Missibi Valley CU  
41| Alliance Bank  
42| Solarity CU  
43| Golden 1 CU  
44| Bank Financial  
45| Goldenwest Federal CU  
46| White Fish CU  
47| Hawaii Community Federal CU  
48| HFS Federal CU  
49| Contra Costa Federal CU  
50| Meriwest CU  
  
  


