title: Total Processes Ran - 2020
body:   

  
| Process| Count  
---|---|---  
1| email| 48471  
2| paperlessReport| 29065  
3| doc| 25871  
4| enotice4| 12973  
5| afp| 12670  
6| auth| 8762  
7| enrollment| 6515  
8| ecl| 4944  
9| paperless| 4923  
10| reminder| 3763  
11| reportSchedule| 3278  
12| clientPaperlessReport| 3218  
13| proofing| 3086  
14| enotice| 2685  
15| check_image| 2138  
16| bounceBackReportAPI| 1719  
17| optInOptOutReport| 1105  
18| pendingEnrollment| 1095  
19| etax| 964  
20| revertPaper| 942  
21| welcome_reminder| 887  
22| permission| 821  
23| dailyStatus| 732  
24| fcsbPaperlessReport| 731  
25| direct_enrollment| 714  
26| idMap| 676  
27| adminActivityReport| 644  
28| accumulativeOptOutReport| 587  
29| check_index| 547  
30| altNameReport| 507  
31| search_index| 438  
32| email_bbbb| 374  
33| infoXchangeTransReport| 369  
34| enotice2| 368  
35| pendingJobReport| 366  
36| gecuPaperlessReport| 365  
37| estmtUpdate| 365  
38| customerActivity| 365  
39| disableAiUser| 364  
40| aiUserProcessing| 360  
41| undeliverableReport| 295  
42| revertToPaper| 283  
43| authorization| 264  
44| estmt_notification| 261  
45| mwcu-emailCollection| 175  
46| insert| 148  
47| unreg| 134  
48| bounceBackReport| 116  
49| OptOutReport| 63  
50| auth2| 57  
51| xml| 46  
52| active_users| 29  
53| vendorusage| 27  
54| adminUserActivityReport| 18  
55| monthlyStatisticalReport| 16  
56| reg_users| 15  
57| monthlyEnrollment| 12  
58| restrictionReport| 12  
59| revertPaperReport| 12  
60| retailUser| 12  
61| acctlookup| 12  
62| MonthlyOptInOptOutReport| 10  
63| close_account| 8  
64| purge_account| 8  
65| auto_enrollment| 7  
66| email2| 7  
67| cmi| 4  
68| selective_email| 4  
69| statementReport| 2  
  
  


